Date,Open,High,Low,Close,Volume
04/10/2023,"28.57","29.05","28.51","28.73","68,946"
04/06/2023,"28.42","28.68","27.90","28.59","128,103"
04/05/2023,"29.09","29.30","28.29","28.44","110,552"
04/04/2023,"30.24","30.24","28.78","29.09","84,929"
04/03/2023,"30.48","30.89","29.90","30.14","104,353"
03/31/2023,"29.94","30.54","29.84","30.52","130,416"
03/30/2023,"30.00","30.30","29.34","29.66","138,021"
03/29/2023,"30.94","31.08","29.72","29.73","129,657"
03/28/2023,"31.08","31.40","30.40","30.65","241,696"
03/27/2023,"31.15","31.27","30.65","31.10","131,838"
03/24/2023,"30.40","30.87","29.90","30.85","113,127"
03/23/2023,"31.62","31.86","30.37","30.61","88,228"
03/22/2023,"31.85","32.16","31.40","31.45","79,146"
03/21/2023,"31.99","32.59","31.80","31.93","72,582"
03/20/2023,"31.84","32.20","31.34","31.58","84,661"
03/17/2023,"32.13","32.32","31.34","31.65","140,169"
03/16/2023,"31.39","32.56","31.03","32.21","78,567"
03/15/2023,"31.30","31.84","31.02","31.82","119,179"
03/14/2023,"32.18","32.76","31.56","31.89","79,594"
03/13/2023,"31.73","32.07","31.03","31.40","103,447"
